year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
population,5581000,5779000,6015000,6262000,6519000,6786000,7064000,7354000,7656000,7969000,8296000,8636000,8990000,9358000,9742000,10141000,10557000,10990000,11440000,11883000,12327000,12765000,13193000,13608000
growth rate,3.26,3.55,4.08,4.11,4.1,4.1,4.1,4.11,4.11,4.09,4.1,4.1,4.1,4.09,4.1,4.1,4.1,4.1,4.09,3.87,3.74,3.55,3.35,3.15
rainfall(mm),1193.9,1058.5,772,678.7,1026.1,1350.8,639.1,984.6,1096.4,975.6,960.1,1172,725.2,1185.4,1167,1278.6,791.4,1696,617.7,960.1,1212.8,1511.1,1957.7,1020
